VEHICLE_ID,BAROMETRIC_PRESSURE(KPA),ENGINE_COOLANT_TEMP,FUEL_LEVEL,ENGINE_LOAD,AMBIENT_AIR_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,AIR_INTAKE_TEMP,SPEED,SHORT TERM FUEL TRIM BANK 1,ENGINE_RUNTIME,THROTTLE_POS,TIMING_ADVANCE,EQUIV_RATIO,FUEL_RATE,FUEL_CONSUMPTION,DISTANCE_MOVED,DISTANCE_SO_FAR,FUEL_CONSUMPTION_SO_FAR,FUEL_EFFICIENCY,RELATIVE_FUEL_EFFICIENCY_SCORE,THROTTLE_EFFICIENCY,RELATIVE_THROTTLE_SCORE,RELATIVE_ECO_DRIVING_SCORE,ECO_DRIVING_SCORE,SPEED_CHANGE_RATE,MODIFIED_SPEED,RPM_CHANGE_RATE,MODIFIED_RPM,SPEED_RPM_RATIO,THROTTLE_CHANGE_RATE,MODIFIED_THROTTLE_RATE,ACCELERATION,CAR_JERK,IDEAL_FUEL_CONSUMPTION_L2,IDEAL_FUEL_CONSUMPTION_L3
s11,100.0,82.0,74.5,79.2,28.0,2124.0,61.0,24.77,36.0,48.0,-1.6,0.0,34.9,66.7,1.0,7.397710303633649,15.411896465903435,0.0,0.0,0.0,0.0,0.0,65.1,65.1,17.167721518987342,16.275,48.0,0.21818181818181817,2124.0,0.2655,0.8217770929635335,34.9,2.3741496598639458,0.0,0.0,23.975547506111113,26.66178563878662
s11,100.0,83.0,74.1,78.4,28.0,2617.0,44.0,30.96,36.0,60.0,-4.7,6.0,36.1,68.2,1.0,9.246391239422598,15.41065206570433,0.1,0.1,0.015410652065704331,6.489018087855297,20.396206470142403,63.9,63.9,32.98750511878355,31.272154852606803,2.0,0.2727272727272727,82.16666666666667,0.327125,0.8337096606106923,0.20000000000000048,0.013605442176870782,0.5555555555555555,0.09259259259259257,27.288204439852738,29.250697340799224
s11,100.0,83.0,73.7,42.0,28.0,3005.0,35.0,18.58,36.0,64.0,-10.2,10.0,32.2,75.7,1.0,5.5490293678447,8.670358387257343,0.071,0.171,0.021566606520657044,7.928924740023975,24.922104376072046,67.8,67.8,37.59660156334814,35.641578282054034,1.0,0.2909090909090909,97.0,0.375625,0.7744667977613069,0.9749999999999996,0.06632653061224487,0.2777777777777778,-0.06944444444444442,17.889846464300703,22.977491309525
s11,100.0,82.0,73.7,37.3,28.0,3156.0,63.0,18.38,36.0,65.0,0.0,14.0,32.5,75.3,1.0,5.489298158287706,8.445074089673394,0.072,0.243,0.027647059865221885,8.789361370960005,27.62661882516728,67.5,67.5,39.6571351464931,37.59496411887546,1.0,0.29545454545454547,37.75,0.3945,0.7489342090102546,0.07499999999999929,0.0051020408163264825,0.06944444444444445,-0.052083333333333336,17.3789286823246,23.529667498143226
s11,100.0,82.0,73.3,76.1,28.0,1798.0,47.0,19.77,36.0,67.0,3.1,18.0,33.3,66.3,1.0,5.904430064708811,8.812582186132554,0.074,0.317,0.03416837068295998,9.277586073429315,29.161201053258917,66.7,66.7,40.660232900785005,38.545900789944184,1.0,0.30454545454545456,1.0,0.22475,1.3550409545960158,0.1999999999999993,0.013605442176870701,0.1388888888888889,0.017361111111111112,12.556812047685861,14.370978891478883
s11,100.0,83.0,72.9,37.6,28.0,1818.0,32.0,9.99,36.0,65.0,4.7,22.0,28.6,72.5,1.0,2.983573917371827,4.590113719033581,0.072,0.389,0.03747325256066415,10.380737550610569,32.62861399490908,71.4,71.4,44.642890818757195,42.321460496181814,1.0,0.29545454545454547,5.0,0.22725,1.3001300130013,1.174999999999999,0.07993197278911558,-0.1388888888888889,-0.06944444444444445,6.638058777086149,8.550232517850937
s11,100.0,83.0,72.5,32.2,28.0,1765.0,35.0,8.33,37.0,63.0,1.6,26.0,27.1,74.1,1.0,2.4878048780487805,3.948896631823461,0.07,0.459,0.04023748020294057,11.407274950742469,35.85521445725014,72.9,72.9,47.59115067820423,45.11641084293761,1.0,0.2863636363636364,1.0,0.220625,1.2979654906000517,0.375,0.025510204081632654,-0.1388888888888889,0.0,5.7415102219188165,7.6202804025742905
s11,100.0,83.0,72.5,49.4,28.0,1721.0,43.0,12.56,36.0,63.0,-0.8,30.0,30.2,71.4,1.0,3.7511199601791936,5.954158666951101,0.07,0.529,0.044405391269806346,11.912967882341261,37.4447026207497,69.8,69.8,48.03114658814586,45.533526965562274,1.0,0.2863636363636364,1.0,0.215125,1.3311499656647827,0.7749999999999995,0.05272108843537412,0.0,0.034722222222222224,8.04254854173668,9.791345578613898
s11,100.0,82.0,72.2,42.7,28.0,1716.0,34.0,10.69,37.0,63.0,-0.8,34.0,29.0,71.8,1.0,3.192633150821304,5.067671667970324,0.07,0.599,0.047952761437385576,12.491459971124824,39.26301225164075,71.0,71.0,49.78613838473688,47.19725918873056,1.0,0.2863636363636364,1.0,0.2145,1.3350286077558806,0.2999999999999998,0.02040816326530611,0.0,0.0,6.997801881377843,8.735863131993119
s11,100.0,82.0,72.2,39.2,28.0,1759.0,33.0,9.78,37.0,67.0,3.9,38.0,28.6,72.5,1.0,2.9208561473369836,4.359486787070125,0.074,0.673,0.05117878165981747,13.149980874366916,41.3328675249013,71.4,71.4,51.529167345649775,48.84965064367598,1.0,0.30454545454545456,10.75,0.219875,1.3850845004909815,0.09999999999999964,0.0068027210884353505,0.2777777777777778,0.06944444444444445,6.339444324563239,8.063343728824561
