SPEED,MAF,ENGINE_RPM,THROTTLE_POS,INTAKE_MANIFOLD_PRESSURE,ENGINE_LOAD,FUEL_RATE,FUEL_CONSUMPTION
77.0,21.89,2018.0,34.1,19.0,72.9,6.537580886012941,8.490364787029794
39.0,13.92,2050.0,33.0,42.0,36.1,4.1572921851667495,10.659723551709614
43.0,15.05,1418.0,24.0,30.0,84.7,4.494773519163763,10.452961672473869
26.0,18.51,2103.0,32.5,32.0,58.4,5.528123444499752,21.262013248075966
37.0,12.18,1459.0,31.0,80.0,58.4,3.637630662020906,9.831434221678125
105.0,8.21,2810.0,21.0,30.0,29.8,2.4519661523145846,2.335205859347224
66.0,19.4,2216.0,32.9,18.0,59.6,5.793927327028372,8.778677768224806
38.0,3.72,1460.0,21.2,20.0,18.4,1.1110004977600796,2.923685520421262
20.0,9.44,1464.0,18.0,30.0,58.0,2.8193130910900948,14.096565455450474
59.0,14.25,1631.0,20.0,30.0,38.4,4.255848680935789,7.21330284904371
108.0,20.56,2757.0,26.0,30.0,60.4,6.140368342458936,5.685526243017533
34.0,3.02,1148.0,22.0,57.0,18.0,0.9019412643106024,2.652768424442948
33.0,3.82,1153.0,24.0,55.0,22.0,1.1408661025385765,3.457170007692656
100.0,27.82,2585.0,28.0,30.0,76.9,8.308611249377801,8.308611249377801
65.0,3.94,2012.0,14.0,30.0,23.1,1.1767048282727726,1.81031512041965
58.0,7.02,1885.0,28.2,50.0,18.4,2.096565455450473,3.614768026638746
65.0,9.99,1818.0,28.6,32.0,37.6,2.983573917371827,4.590113719033581
42.0,24.56,1751.0,35.7,66.0,96.1,7.334992533598806,17.46426793714001
88.0,19.73,2276.0,26.0,30.0,66.3,5.892483822797412,6.696004344087967
38.0,3.74,1489.0,23.5,86.0,19.6,1.116973618715779,2.9394042597783656
28.0,7.08,2183.0,29.0,25.0,23.1,2.114484818317571,7.5517314939913245
37.0,12.31,2134.0,32.0,25.0,38.8,3.676455948232952,9.936367427656627
78.0,11.21,2032.0,22.0,30.0,46.3,3.3479342956694875,4.292223455986523
11.0,2.66,775.0,13.0,30.0,29.4,0.794425087108014,7.22204624643649
76.0,29.71,2409.0,30.0,30.0,86.3,8.873071179691388,11.67509365748867
73.0,2.17,1757.0,18.0,30.0,25.5,0.6480836236933798,0.8877857858813423
38.0,4.39,1735.0,24.0,36.0,16.5,1.311100049776008,3.450263288884231
28.0,5.6,1272.0,20.0,30.0,41.2,1.672473867595819,5.973120955699353
54.0,24.4,2298.0,28.0,30.0,82.7,7.287207565953211,13.49482882583928
56.0,12.37,1910.0,30.2,27.0,46.3,3.69437531110005,6.5970987698215175
57.0,13.26,1875.0,30.6,44.0,48.2,3.960179193628671,6.947682795839774
44.0,25.14,2088.0,34.5,61.0,81.2,7.508213041314088,17.06412054844111
57.0,21.24,1913.0,33.7,64.0,74.1,6.343454454952713,11.12886746482932
55.0,6.68,1890.0,23.5,20.0,28.2,1.995022399203584,3.627313453097425
36.0,2.93,1054.0,18.4,21.0,20.8,0.8750622200099551,2.430728388916542
57.0,29.89,1806.0,38.4,64.0,100.0,8.926829268292684,15.661103979460847
39.0,5.03,1762.0,18.0,30.0,52.9,1.5022399203583874,3.8518972316881728
12.0,2.39,816.0,18.0,30.0,33.7,0.7137879542060728,5.948232951717273
98.0,39.53,2823.0,42.0,30.0,98.0,11.80587356893977,12.046809764224257
41.0,11.21,1774.0,29.8,59.0,29.4,3.3479342956694875,8.16569340407192
51.0,21.37,1637.0,34.1,62.0,85.9,6.382279741164759,12.514274002283845
30.0,8.19,1593.0,26.7,21.0,35.7,2.445993031358885,8.153310104529616
30.0,19.49,1781.0,60.0,98.0,69.0,5.82080637132902,19.402687904430067
43.0,50.22,3021.0,42.0,64.0,100.0,14.998506719761076,34.88024818549088
98.0,7.68,2685.0,21.0,30.0,34.9,2.2936784469885514,2.340488211212808
62.0,21.6,2582.0,26.0,30.0,66.3,6.450970632155302,10.404791342185971
99.0,23.37,2580.0,27.0,30.0,65.5,6.979591836734694,7.05009276437848
45.0,2.75,1217.0,18.0,30.0,36.9,0.821304131408661,1.8251202920192464
